Kennziffer;Raumeinheit;Aggregat;Beschäftigte Tertiärer Sektor;Bandbreitenverfügbarkeit mindestens 50 Mbit/s
"05762";"Höxter";"Kreise";"65,48";"77,53"
"05766";"Lippe";"Kreise";"63,23";"86,60"
"05770";"Minden-Lübbecke";"Kreise";"65,58";"85,62"
"05774";"Paderborn";"Kreise";"69,05";"94,93"
"05911";"Bochum, Stadt";"Kreise";"83,28";"98,82"
"05913";"Dortmund, Stadt";"Kreise";"82,77";"95,95"
"05914";"Hagen, Stadt der FernUniversität";"Kreise";"74,33";"98,91"
"05915";"Hamm, Stadt";"Kreise";"76,29";"98,40"
"05916";"Herne, Stadt";"Kreise";"77,13";"99,31"
"05954";"Ennepe-Ruhr-Kreis";"Kreise";"64,99";"97,04"
"05958";"Hochsauerlandkreis";"Kreise";"58,36";"96,97"
"05962";"Märkischer Kreis";"Kreise";"51,61";"85,58"
"05966";"Olpe";"Kreise";"46,14";"96,35"
"05970";"Siegen-Wittgenstein";"Kreise";"59,99";"97,68"
"05974";"Soest";"Kreise";"61,71";"97,91"
"05978";"Unna";"Kreise";"73,11";"97,14"
"06411";"Darmstadt, Wissenschaftsstadt";"Kreise";"74,82";"99,34"
"06412";"Frankfurt am Main, Stadt";"Kreise";"89,83";"99,27"
"06413";"Offenbach am Main, Stadt";"Kreise";"80,46";"99,77"
"06414";"Wiesbaden, Landeshauptstadt";"Kreise";"84,35";"96,04"
"06431";"Bergstraße";"Kreise";"67,95";"98,02"
"06432";"Darmstadt-Dieburg";"Kreise";"68,01";"98,56"
"06433";"Groß-Gerau";"Kreise";"71,76";"98,23"
"06434";"Hochtaunuskreis";"Kreise";"80,91";"99,09"
"06435";"Main-Kinzig-Kreis";"Kreise";"67,04";"96,60"
"06436";"Main-Taunus-Kreis";"Kreise";"85,12";"98,71"
"06437";"Odenwaldkreis";"Kreise";"59,96";"97,24"
"06438";"Offenbach";"Kreise";"76,24";"99,18"
"06439";"Rheingau-Taunus-Kreis";"Kreise";"72,68";"93,37"
"06440";"Wetteraukreis";"Kreise";"74,41";"97,82"
"06531";"Gießen";"Kreise";"75,67";"97,21"
"06532";"Lahn-Dill-Kreis";"Kreise";"60,68";"97,16"
"06533";"Limburg-Weilburg";"Kreise";"69,08";"96,78"
"06534";"Marburg-Biedenkopf";"Kreise";"64,72";"98,27"
"06535";"Vogelsbergkreis";"Kreise";"64,94";"75,78"
"06611";"Kassel, documenta-Stadt";"Kreise";"79,22";"98,93"
"06631";"Fulda";"Kreise";"70,40";"98,71"
"06632";"Hersfeld-Rotenburg";"Kreise";"71,08";"91,19"
"06633";"Kassel";"Kreise";"56,62";"79,68"
"06634";"Schwalm-Eder-Kreis";"Kreise";"67,37";"89,85"
"06635";"Waldeck-Frankenberg";"Kreise";"62,62";"95,11"
"06636";"Werra-Meißner-Kreis";"Kreise";"70,88";"95,14"
"07111";"Koblenz, kreisfreie Stadt";"Kreise";"85,02";"98,06"
"07131";"Ahrweiler";"Kreise";"70,27";"85,62"
"07132";"Altenkirchen (Westerwald)";"Kreise";"56,30";"95,72"
"07133";"Bad Kreuznach";"Kreise";"70,14";"95,42"
"07134";"Birkenfeld";"Kreise";"65,79";"93,52"
"07135";"Cochem-Zell";"Kreise";"74,56";"89,06"
"07137";"Mayen-Koblenz";"Kreise";"66,81";"95,85"
"07138";"Neuwied";"Kreise";"62,73";"97,10"
"07140";"Rhein-Hunsrück-Kreis";"Kreise";"62,00";"94,30"
